,district,date,Crop,crop_type,crop_sown,rainfall_mm,temp_avg_C,humidity_avg,wind_speed_avg_Kmph,mrp_rs_kg,Min_duration_days,max_duration_days,duration_months,avg_cost_of_cultivation_rs_ac,Yield_kg_ac,Soil_type,avg_pH,N_kg_ha,P_kg_ha,K_kg_ha,irrigation,profit_rs_ac,ROI,sow_and_harvest,crop_term
0,Medak,2019-Jan,PADDY,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,17.29400062561035,90,110,3.3333332538604736,36000,2259.0,loamy soil,5.75,150.0,60,60.0,True,0.0,0.0,one_sow_one_harvest,short_term
1,Medak,2019-Jan,Wheat,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,18.399999618530273,210,240,7.5,16500,2300.0,loamy soil,6.5,80.0,40,40.0,True,0.0,0.0,one_sow_one_harvest,intermediate_term
2,Medak,2019-Jan,JOWAR ,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,24.5,65,75,2.3333332538604736,17000,861.0,loamy soil,6.75,80.0,40,40.0,True,0.0,0.0,one_sow_one_harvest,short_term
3,Medak,2019-Jan,BAJRA ,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,19.5,70,90,2.6666667461395264,11000,1500.0,sandy loam,0.75,80.0,40,40.0,False,0.0,0.0,one_sow_one_harvest,short_term
4,Medak,2019-Jan,MAIZE,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,17.0,105,110,3.5833332538604736,25000,2805.0,loamy soil,6.5,60.0,30,30.0,True,0.0,0.0,one_sow_one_harvest,short_term
5,Medak,2019-Jan,RAGI   ,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,29.8700008392334,120,135,4.25,13000,648.0,loamy soil,6.0,40.0,20,20.0,False,0.0,0.0,one_sow_one_harvest,intermediate_term
6,Medak,2019-Jan,REDGRAM,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,56.75,100,120,3.6666667461395264,17500,365.0,loamy soil,5.25,10.0,20,12.0,True,0.0,0.0,one_sow_one_harvest,short_term
7,Medak,2019-Jan,GREENGRAM  ,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,68.4000015258789,60,65,2.0833332538604736,15000,384.0,sandy loam,6.75,20.0,40,0.0,False,0.0,0.0,one_sow_one_harvest,short_term
8,Medak,2019-Jan,BLACKGRAM ,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,56.79999923706055,70,85,2.5833332538604736,16000,729.0,sandy loam,7.150000095367432,20.0,40,40.0,False,0.0,0.0,one_sow_one_harvest,short_term
9,Medak,2019-Jan,HORSEGRAM,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,48.0,90,135,3.75,15500,355.0,loamy soil,6.5,12.5,25,12.5,False,0.0,0.0,one_sow_one_harvest,short_term
10,Medak,2019-Jan,BengalGram,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,46.11000061035156,160,170,5.5,21000,620.0,sandy loam,6.25,10.0,40,20.0,True,0.0,0.0,one_sow_one_harvest,intermediate_term
11,Medak,2019-Jan,Cowpea,grains,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,45.209999084472656,90,125,3.5833332538604736,8500,334.0,sandy loam,7.099999904632568,135.0,31,250.0,True,0.0,0.0,one_sow_one_harvest,short_term
12,Medak,2019-Jan,GROUNDNUT,fruit,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,47.0,110,120,3.8333332538604736,22500,1110.0,sandy loam,6.25,60.0,45,48.0,True,0.0,0.0,one_sow_one_harvest,short_term
13,Medak,2019-Jan,SESAMUM (Gingelly),grains,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,50.0,90,130,3.6666667461395264,13500,350.0,loamy soil,6.75,17.0,13,13.0,True,4000.0,29.629629135131836,one_sow_one_harvest,short_term
14,Medak,2019-Jan,SUNFLOWER,flower,True,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,37.0,90,100,3.1666667461395264,20500,928.0,sandy loam,6.400000095367432,150.0,75,50.0,True,13836.0,67.49268341064453,one_sow_one_harvest,short_term
15,Medak,2019-Jan,Safflower,flower,False,0.0,22.044950485229492,59.17903137207031,0.9193548560142517,39.5,120,150,4.5,14000,448.0,sandy loam,6.5,24.0,108,48.0,False,0.0,0.0,one_sow_few_harvests,intermediate_term
